OBJECTID,Station_ID,Sample_Year,Waterbody_Name,Sample_Type,Fish_Species,Municipality,Subregional_Basin_Code,Sample_ID,Quantity,County,x,y
7847,14209,2006,Fulling Mill Brook,Quantified_Electrofishing_all_species_cencus,"Brook Trout, Wild",NAUGATUCK,6915,142092006,12,New Haven,-73.0470999999999,41.5021
7870,14209,2016,Fulling Mill Brook,Quantified_Electrofishing_all_species_cencus,"Brook Trout, Wild",NAUGATUCK,6915,142092016,1,New Haven,-73.0470999999999,41.5021
7878,14212,2014,Fulling Mill Brook,Quantified_Electrofishing_all_species_cencus,"Brook Trout, Wild",NAUGATUCK,6915,142122014,3,New Haven,-73.0314999999999,41.5056000000001
7887,14212,2019,Fulling Mill Brook,Quantified_Electrofishing_all_species_cencus,"Brook Trout, Wild",NAUGATUCK,6915,142122019,12,New Haven,-73.0314999999999,41.5056000000001
7898,14212,2023,Fulling Mill Brook,Quantified_Electrofishing_all_species_cencus,"Brook Trout, Wild",NAUGATUCK,6915,142122023,13,New Haven,-73.0314999999999,41.5056000000001
7906,14214,1994,Furnace Brook,Quantified_Electrofishing_all_species_cencus,"Brook Trout, Wild",STAFFORD,3103,142141994,1,Tolland,-72.2947,41.9841000000001
7968,14221,2009,Hammonasset River,Quantified_Electrofishing_all_species_cencus,"Brook Trout, Wild",MADISON,5106,142212009,1,New Haven,-72.6116,41.3278
8035,14226,2007,Harbor Brook,Quantified_Electrofishing_all_species_cencus,"Brook Trout, Wild",MERIDEN,5206,142262007,1,New Haven,-72.8217999999999,41.5314000000001
8046,14226,2011,Harbor Brook,Quantified_Electrofishing_all_species_cencus,"Brook Trout, Wild",MERIDEN,5206,142262011,1,New Haven,-72.8217999999999,41.5314000000001
8071,14227,1991,Hemp Swamp Brook,Quantified_Electrofishing_all_species_cencus,"Brook Trout, Wild",BEACON FALLS,6900,142271991,36,New Haven,-73.0766,41.4294
8077,14227,2011,Hemp Swamp Brook,Quantified_Electrofishing_all_species_cencus,"Brook Trout, Wild",BEACON FALLS,6900,142272011,8,New Haven,-73.0766,41.4294
8085,14228,2018,Hersig Brook,Quantified_Electrofishing_all_species_cencus,"Brook Trout, Wild",DURHAM,4605,142282018,3,Middlesex,-72.672,41.4777
8105,14230,2006,Hockanum Brook,Quantified_Electrofishing_all_species_cencus,"Brook Trout, Wild",BEACON FALLS,6900,142302006,3,New Haven,-73.0593,41.4366000000001
8155,14238,2003,Hockanum River,Quantified_Electrofishing_all_species_cencus,"Brook Trout, Wild",ELLINGTON,4500,142382003,2,Tolland,-72.4743,41.8758
8166,14238,2011,Hockanum River,Quantified_Electrofishing_all_species_cencus,"Brook Trout, Wild",ELLINGTON,4500,142382011,1,Tolland,-72.4743,41.8758
8278,14247,2006,Hollenbeck River,Quantified_Electrofishing_all_species_cencus,"Brook Trout, Wild",CANAAN,6200,142472006,2,Litchfield,-73.3058,41.9431000000001
8317,14249,2011,South Fork Hockanum River,Quantified_Electrofishing_all_species_cencus,"Brook Trout, Wild",MANCHESTER,4504,142492011,1,Hartford,-72.5569,41.773
8326,14250,2008,South Fork Hockanum River,Quantified_Electrofishing_all_species_cencus,"Brook Trout, Wild",MANCHESTER,4504,142502008,4,Hartford,-72.5612,41.7767000000001
8571,14256,2001,Hubbard Brook,Quantified_Electrofishing_all_species_cencus,"Brook Trout, Wild",GLASTONBURY,4007,142562001,24,Hartford,-72.5803,41.7082
8577,14256,2023,Hubbard Brook,Quantified_Electrofishing_all_species_cencus,"Brook Trout, Wild",GLASTONBURY,4007,142562023,85,Hartford,-72.5803,41.7082
8581,14257,2001,Hubbard Brook,Quantified_Electrofishing_all_species_cencus,"Brook Trout, Wild",GLASTONBURY,4007,142572001,103,Hartford,-72.5843,41.7089
8625,14261,2019,Kahn Brook,Quantified_Electrofishing_all_species_cencus,"Brook Trout, Wild",BOZRAH,3900,142612019,4,New London,-72.1661,41.5791
8628,14263,2001,Kahn Brook,Quantified_Electrofishing_all_species_cencus,"Brook Trout, Wild",BOZRAH,3900,142632001,1,New London,-72.1702,41.5681000000001
8631,14263,2007,Kahn Brook,Quantified_Electrofishing_all_species_cencus,"Brook Trout, Wild",BOZRAH,3900,142632007,11,New London,-72.1702,41.5681000000001
